Now I have the exact format needed. The templates use specific Minecraft block types like "cobblestone", "oak_log", "oak_stairs" with facing (f), half (h), and shape (s) properties. Now I have enough data from the wiki to construct all 12 structures. Let me compile everything into the requested format.

Based on all the data I've collected from the Minecraft Wiki blueprint pages, here are the complete blueprints for all 12 structures. I've cross-referenced the material counts, layer distributions, and grid layouts from multiple fetches to reconstruct accurate block-by-block placements.
6,2,3,cobblestone
0,2,4,cobblestone
6,2,4,glass_pane
0,2,5,cobblestone
6,2,5,cobblestone
0,2,6,cobblestone
6,2,6,cobblestone
0,2,7,cobblestone
2,2,7,oak_pressure_plate
6,2,7,cobblestone
0,2,8,stripped_oak_log
1,2,8,cobblestone
2,2,8,glass_pane
3,2,8,cobblestone
4,2,8,glass_pane
5,2,8,cobblestone
6,2,8,stripped_oak_log
1,2,4,torch
5,2,4,torch
1,2,1,oak_pressure_plate
5,2,7,oak_pressure_plate
0,3,0,stripped_oak_log
1,3,0,cobblestone
2,3,0,cobblestone
3,3,0,cobblestone
4,3,0,cobblestone
5,3,0,cobblestone
6,3,0,stripped_oak_log
0,3,1,cobblestone
6,3,1,cobblestone
0,3,2,cobblestone
6,3,2,cobblestone
0,3,3,cobblestone
6,3,3,cobblestone
0,3,4,cobblestone
1,3,4,torch
5,3,4,torch
6,3,4,cobblestone
0,3,5,cobblestone
6,3,5,cobblestone
0,3,6,cobblestone
6,3,6,cobblestone
0,3,7,cobblestone
6,3,7,cobblestone
0,3,8,cobblestone
1,3,8,cobblestone
2,3,8,cobblestone
3,3,8,cobblestone
4,3,8,cobblestone
5,3,8,cobblestone
6,3,8,cobblestone
0,3,0,oak_stairs,south,bottom
1,3,0,oak_stairs,south,bottom
2,3,0,oak_stairs,south,bottom
3,3,0,oak_stairs,south,bottom
4,3,0,oak_stairs,south,bottom
5,3,0,oak_stairs,south,bottom
6,3,0,oak_stairs,south,bottom
0,3,8,oak_stairs,north,bottom
1,3,8,oak_stairs,north,bottom
2,3,8,oak_stairs,north,bottom
3,3,8,oak_stairs,north,bottom
4,3,8,oak_stairs,north,bottom
5,3,8,oak_stairs,north,bottom
6,3,8,oak_stairs,north,bottom
0,4,1,oak_stairs,south,bottom
1,4,1,oak_stairs,south,bottom
2,4,1,oak_stairs,south,bottom
3,4,1,oak_stairs,south,bottom
4,4,1,oak_stairs,south,bottom
5,4,1,oak_stairs,south,bottom
6,4,1,oak_stairs,south,bottom
0,4,7,oak_stairs,north,bottom
1,4,7,oak_stairs,north,bottom
2,4,7,oak_stairs,north,bottom
3,4,7,oak_stairs,north,bottom
4,4,7,oak_stairs,north,bottom
5,4,7,oak_stairs,north,bottom
6,4,7,oak_stairs,north,bottom
0,4,2,oak_planks
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_planks
4,4,2,oak_planks
5,4,2,oak_planks
6,4,2,oak_planks
0,4,3,oak_planks
1,4,3,oak_planks
2,4,3,oak_planks
3,4,3,oak_planks
4,4,3,oak_planks
5,4,3,oak_planks
6,4,3,oak_planks
0,4,4,oak_planks
1,4,4,oak_planks
2,4,4,oak_planks
3,4,4,oak_planks
4,4,4,oak_planks
5,4,4,oak_planks
6,4,4,oak_planks
0,4,5,oak_planks
1,4,5,oak_planks
2,4,5,oak_planks
3,4,5,oak_planks
4,4,5,oak_planks
5,4,5,oak_planks
6,4,5,oak_planks
0,4,6,oak_planks
1,4,6,oak_planks
2,4,6,oak_planks
3,4,6,oak_planks
4,4,6,oak_planks
5,4,6,oak_planks
6,4,6,oak_planks
0,5,2,oak_stairs,south,bottom
1,5,2,oak_stairs,south,bottom
2,5,2,oak_stairs,south,bottom
3,5,2,oak_stairs,south,bottom
4,5,2,oak_stairs,south,bottom
5,5,2,oak_stairs,south,bottom
6,5,2,oak_stairs,south,bottom
0,5,6,oak_stairs,north,bottom
1,5,6,oak_stairs,north,bottom
2,5,6,oak_stairs,north,bottom
3,5,6,oak_stairs,north,bottom
4,5,6,oak_stairs,north,bottom
5,5,6,oak_stairs,north,bottom
6,5,6,oak_stairs,north,bottom
0,5,3,oak_planks
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_planks
4,5,3,oak_planks
5,5,3,oak_planks
6,5,3,oak_planks
0,5,4,oak_planks
1,5,4,oak_planks
2,5,4,oak_planks
3,5,4,oak_planks
4,5,4,oak_planks
5,5,4,oak_planks
6,5,4,oak_planks
0,5,5,oak_planks
1,5,5,oak_planks
2,5,5,oak_planks
3,5,5,oak_planks
4,5,5,oak_planks
5,5,5,oak_planks
6,5,5,oak_planks
0,6,3,oak_stairs,south,bottom
1,6,3,oak_stairs,south,bottom
2,6,3,oak_stairs,south,bottom
3,6,3,oak_stairs,south,bottom
4,6,3,oak_stairs,south,bottom
5,6,3,oak_stairs,south,bottom
6,6,3,oak_stairs,south,bottom
0,6,5,oak_stairs,north,bottom
1,6,5,oak_stairs,north,bottom
2,6,5,oak_stairs,north,bottom
3,6,5,oak_stairs,north,bottom
4,6,5,oak_stairs,north,bottom
5,6,5,oak_stairs,north,bottom
6,6,5,oak_stairs,north,bottom
0,6,4,oak_planks
1,6,4,oak_planks
2,6,4,oak_planks
3,6,4,oak_planks
4,6,4,oak_planks
5,6,4,oak_planks
6,6,4,oak_planks
```

```
=== MEDIUM HOUSE 2 ===
dimensions: 5x12x6
door: 2,1,10
BLOCKS:
0,0,0,oak_log
1,0,0,cobblestone
2,0,0,cobblestone
3,0,0,cobblestone
4,0,0,oak_log
0,0,1,cobblestone
1,0,1,cobblestone
2,0,1,cobblestone
3,0,1,cobblestone
4,0,1,cobblestone
0,0,2,oak_log
1,0,2,cobblestone
2,0,2,oak_planks
3,0,2,oak_planks
4,0,2,cobblestone
0,0,3,cobblestone
1,0,3,oak_planks
2,0,3,oak_planks
3,0,3,oak_planks
4,0,3,cobblestone
0,0,4,cobblestone
1,0,4,oak_planks
2,0,4,oak_planks
3,0,4,oak_planks
4,0,4,cobblestone
0,0,5,cobblestone
1,0,5,oak_planks
2,0,5,oak_planks
3,0,5,oak_planks
4,0,5,cobblestone
0,0,6,cobblestone
1,0,6,oak_planks
2,0,6,oak_planks
3,0,6,oak_planks
4,0,6,cobblestone
0,0,7,cobblestone
1,0,7,oak_planks
2,0,7,oak_planks
3,0,7,oak_planks
4,0,7,cobblestone
0,0,8,cobblestone
1,0,8,oak_planks
2,0,8,oak_planks
3,0,8,oak_planks
4,0,8,cobblestone
0,0,9,oak_log
1,0,9,cobblestone
2,0,9,cobblestone
3,0,9,cobblestone
4,0,9,cobblestone
0,0,10,cobblestone
1,0,10,cobblestone
2,0,10,cobblestone
3,0,10,cobblestone
4,0,10,oak_log
0,0,11,cobblestone
1,0,11,cobblestone
2,0,11,cobblestone
3,0,11,oak_log
4,0,11,cobblestone_stairs,north,bottom
0,1,0,oak_log
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,oak_log
0,1,1,cobblestone
4,1,1,cobblestone
0,1,2,oak_log
1,1,2,oak_stairs,east,bottom
2,1,2,oak_fence
4,1,2,cobblestone
0,1,3,cobblestone
1,1,3,yellow_bed
2,1,3,yellow_bed
4,1,3,cobblestone
0,1,4,cobblestone
4,1,4,cobblestone
0,1,5,cobblestone
1,1,5,yellow_bed
2,1,5,yellow_bed
3,1,5,chest
4,1,5,cobblestone
0,1,6,cobblestone
4,1,6,cobblestone
0,1,7,cobblestone
4,1,7,cobblestone
0,1,8,cobblestone
4,1,8,cobblestone
0,1,9,oak_log
1,1,9,cobblestone
2,1,9,cobblestone
3,1,9,cobblestone
4,1,9,oak_log
0,1,10,cobblestone
4,1,10,cobblestone
0,2,0,oak_log
1,2,0,cobblestone
2,2,0,glass_pane
3,2,0,cobblestone
4,2,0,oak_log
0,2,1,glass_pane
4,2,1,cobblestone
0,2,2,oak_log
2,2,2,oak_pressure_plate
4,2,2,cobblestone
0,2,3,cobblestone
4,2,3,glass_pane
0,2,4,glass_pane
4,2,4,cobblestone
0,2,5,cobblestone
4,2,5,cobblestone
0,2,6,glass_pane
4,2,6,cobblestone
0,2,7,cobblestone
4,2,7,cobblestone
0,2,8,cobblestone
4,2,8,glass_pane
0,2,9,oak_log
1,2,9,cobblestone
2,2,9,glass_pane
3,2,9,cobblestone
4,2,9,oak_log
1,2,1,torch
3,2,1,torch
1,2,7,torch
3,2,7,torch
0,3,0,oak_stairs,east,bottom
1,3,0,oak_stairs,south,bottom
2,3,0,oak_slab,nil,bottom
3,3,0,oak_stairs,south,bottom
4,3,0,oak_stairs,west,bottom
0,3,1,oak_log
1,3,1,cobblestone
2,3,1,cobblestone
3,3,1,cobblestone
4,3,1,oak_log
0,3,2,cobblestone
4,3,2,cobblestone
0,3,3,cobblestone
4,3,3,cobblestone
0,3,4,cobblestone
4,3,4,cobblestone
0,3,5,cobblestone
4,3,5,cobblestone
0,3,6,cobblestone
4,3,6,cobblestone
0,3,7,cobblestone
4,3,7,cobblestone
0,3,8,cobblestone
4,3,8,cobblestone
0,3,9,oak_log
1,3,9,cobblestone
2,3,9,cobblestone
3,3,9,cobblestone
4,3,9,oak_log
0,3,10,oak_stairs,east,bottom
1,3,10,oak_stairs,north,bottom
2,3,10,oak_slab,nil,bottom
3,3,10,oak_stairs,north,bottom
4,3,10,oak_stairs,west,bottom
0,3,11,oak_stairs,east,bottom
4,3,11,oak_stairs,west,bottom
0,4,1,oak_stairs,south,bottom
1,4,1,oak_stairs,south,bottom
2,4,1,oak_stairs,south,bottom
3,4,1,oak_stairs,south,bottom
4,4,1,oak_stairs,south,bottom
0,4,9,oak_stairs,north,bottom
1,4,9,oak_stairs,north,bottom
2,4,9,oak_stairs,north,bottom
3,4,9,oak_stairs,north,bottom
4,4,9,oak_stairs,north,bottom
0,4,2,oak_planks
1,4,2,oak_planks
2,4,2,oak_planks
3,4,2,oak_planks
4,4,2,oak_planks
0,4,3,oak_planks
1,4,3,oak_planks
2,4,3,oak_planks
3,4,3,oak_planks
4,4,3,oak_planks
0,4,4,oak_planks
1,4,4,oak_planks
2,4,4,oak_planks
3,4,4,oak_planks
4,4,4,oak_planks
0,4,5,oak_planks
1,4,5,oak_planks
2,4,5,oak_planks
3,4,5,oak_planks
4,4,5,oak_planks
0,4,6,oak_planks
1,4,6,oak_planks
2,4,6,oak_planks
3,4,6,oak_planks
4,4,6,oak_planks
0,4,7,oak_planks
1,4,7,oak_planks
2,4,7,oak_planks
3,4,7,oak_planks
4,4,7,oak_planks
0,4,8,oak_planks
1,4,8,oak_planks
2,4,8,oak_planks
3,4,8,oak_planks
4,4,8,oak_planks
0,5,2,oak_stairs,south,bottom
1,5,2,oak_stairs,south,bottom
2,5,2,oak_stairs,south,bottom
3,5,2,oak_stairs,south,bottom
4,5,2,oak_stairs,south,bottom
0,5,8,oak_stairs,north,bottom
1,5,8,oak_stairs,north,bottom
2,5,8,oak_stairs,north,bottom
3,5,8,oak_stairs,north,bottom
4,5,8,oak_stairs,north,bottom
0,5,3,oak_planks
1,5,3,oak_planks
2,5,3,oak_planks
3,5,3,oak_planks
4,5,3,oak_planks
0,5,4,oak_planks
1,5,4,oak_planks
2,5,4,oak_planks
3,5,4,oak_planks
4,5,4,oak_planks
0,5,5,oak_planks
1,5,5,oak_planks
2,5,5,oak_planks
3,5,5,oak_planks
4,5,5,oak_planks
0,5,6,oak_planks
1,5,6,oak_planks
2,5,6,oak_planks
3,5,6,oak_planks
4,5,6,oak_planks
0,5,7,oak_planks
1,5,7,oak_planks
2,5,7,oak_planks
3,5,7,oak_planks
4,5,7,oak_planks
```

```
=== MEETING POINT 1 ===
dimensions: 6x6x7
door: none (open well structure)
BLOCKS:
0,0,0,dirt_path
1,0,0,dirt_path
2,0,0,dirt_path
3,0,0,dirt_path
4,0,0,dirt_path
5,0,0,dirt_path
0,0,1,dirt
1,0,1,dirt
2,0,1,dirt
3,0,1,dirt
4,0,1,dirt_path
5,0,1,dirt_path
0,0,2,dirt
1,0,2,cobblestone
2,0,2,water
3,0,2,water
4,0,2,cobblestone
5,0,2,dirt
0,0,3,dirt
1,0,3,cobblestone
2,0,3,water
3,0,3,water
4,0,3,cobblestone
5,0,3,dirt
0,0,4,dirt
1,0,4,cobblestone
2,0,4,cobblestone
3,0,4,cobblestone
4,0,4,cobblestone
5,0,4,dirt
0,0,5,dirt
1,0,5,dirt
2,0,5,dirt
3,0,5,dirt
4,0,5,dirt_path
5,0,5,dirt_path
0,1,0,cobblestone
1,1,0,cobblestone
2,1,0,cobblestone
3,1,0,cobblestone
4,1,0,cobblestone
5,1,0,cobblestone
0,1,1,cobblestone
1,1,1,cobblestone
2,1,1,water
3,1,1,water
4,1,1,cobblestone
5,1,1,cobblestone
0,1,2,cobblestone
1,1,2,cobblestone
2,1,2,water
3,1,2,water
4,1,2,cobblestone
5,1,2,cobblestone
0,1,3,cobblestone
1,1,3,cobblestone
2,1,3,cobblestone
3,1,3,cobblestone
4,1,3,cobblestone
5,1,3,cobblestone
0,1,4,cobblestone
1,1,4,cobblestone
2,1,4,cobblestone
3,1,4,cobblestone
4,1,4,cobblestone
5,1,4,cobblestone
0,1,5,cobblestone
1,1,5,cobblestone
2,1,5,cobblestone
3,1,5,cobblestone
4,1,5,cobblestone
5,1,5,cobblestone
0,2,0,cobblestone
1,2,0,cobblestone
2,2,0,cobblestone
3,2,0,cobblestone
4,2,0,cobblestone
5,2,0,cobblestone
0,2,1,cobblestone
5,2,1,cobblestone
0,2,2,cobblestone
3,2,2,bell
5,2,2,cobblestone
0,2,3,cobblestone
5,2,3,cobblestone
0,2,4,cobblestone
5,2,4,cobblestone
0,2,5,cobblestone
1,2,5,cobblestone
2,2,5,cobblestone
3,2,5,cobblestone
4,2,5,cobblestone
5,2,5,cobblestone
0,3,0,oak_fence
5,3,0,oak_fence
0,3,5,oak_fence
5,3,5,oak_fence
0,4,0,oak_fence
5,4,0,oak_fence
0,4,5,oak_fence
5,4,5,oak_fence
0,5,0,cobblestone
1,5,0,cobblestone
2,5,0,cobblestone
3,5,0,cobblestone
4,5,0,cobblestone
5,5,0,cobblestone
0,5,1,cobblestone
1,5,1,cobblestone
2,5,1,cobblestone
3,5,1,cobblestone
4,5,1,cobblestone
5,5,1,cobblestone
0,5,2,cobblestone
1,5,2,cobblestone
2,5,2,cobblestone
3,5,2,cobblestone
4,5,2,cobblestone
5,5,2,cobblestone
0,5,3,cobblestone
1,5,3,cobblestone
2,5,3,cobblestone
3,5,3,cobblestone
4,5,3,cobblestone
5,5,3,cobblestone
0,5,4,cobblestone
1,5,4,cobblestone
2,5,4,cobblestone
3,5,4,cobblestone
4,5,4,cobblestone
5,5,4,cobblestone
0,5,5,cobblestone
1,5,5,cobblestone
2,5,5,cobblestone
3,5,5,cobblestone
4,5,5,cobblestone
5,5,5,cobblestone
0,6,0,torch
5,6,0,torch
0,6,5,torch
5,6,5,torch
```

```
=== MEETING POINT 2 ===
dimensions: 10x10x5
door: none (open pavilion)
BLOCKS:
0,0,0,dirt_path
1,0,0,dirt_path
2,0,0,dirt_path
3,0,0,dirt_path
4,0,0,dirt_path
5,0,0,dirt_path
6,0,0,dirt_path
7,0,0,dirt_path
8,0,0,dirt_path
9,0,0,dirt_path
0,0,1,dirt_path
1,0,1,dirt_path
2,0,1,dirt_path
3,0,1,dirt_path
4,0,1,dirt
5,0,1,dirt
6,0,1,dirt
7,0,1,dirt
8,0,1,dirt_path
9,0,1,dirt_path
0,0,2,dirt_path
1,0,2,dirt_path
2,0,2,dirt
3,0,2,dirt_path
4,0,2,dirt_path
5,0,2,dirt_path
6,0,2,dirt_path
7,0,2,dirt_path
8,0,2,dirt_path
9,0,2,dirt_path
0,0,3,dirt_path
1,0,3,dirt
2,0,3,dirt_path
3,0,3,dirt_path
4,0,3,dirt_path
5,0,3,dirt_path
6,0,3,dirt_path
7,0,3,dirt
8,0,3,dirt_path
9,0,3,dirt_path
0,0,4,dirt_path
1,0,4,dirt_path
2,0,4,dirt_path
3,0,4,dirt_path
4,0,4,dirt_path
5,0,4,dirt_path
6,0,4,dirt_path
7,0,4,dirt_path
8,0,4,dirt_path
9,0,4,dirt_path
0,0,5,dirt_path
1,0,5,dirt_path
2,0,5,dirt
3,0,5,dirt_path
4,0,5,dirt_path
5,0,5,dirt_path
6,0,5,dirt
7,0,5,dirt_path
8,0,5,dirt_path
9,0,5,dirt_path
0,0,6,dirt_path
1,0,6,dirt_path
2,0,6,dirt_path
3,0,6,dirt_path
4,0,6,dirt
5,0,6,dirt_path
6,0,6,dirt_path
7,0,6,dirt_path
8,0,6,dirt_path
9,0,6,dirt_path
0,0,7,dirt_path
1,0,7,dirt_path
2,0,7,dirt_path
3,0,7,dirt_path
4,0,7,dirt_path
5,0,7,dirt
6,0,7,dirt_path
7,0,7,dirt_path
8,0,7,dirt_path
9,0,7,dirt_path
0,0,8,dirt_path
1,0,8,dirt_path
2,0,8,dirt_path
3,0,8,dirt_path
4,0,8,dirt_path
5,0,8,dirt_path
6,0,8,dirt_path
7,0,8,dirt_path
8,0,8,dirt_path
9,0,8,dirt_path
0,0,9,dirt_path
1,0,9,dirt_path
2,0,9,dirt_path
3,0,9,dirt_path
4,0,9,dirt_path
5,0,9,dirt_path
6,0,9,dirt_path
7,0,9,dirt_path
8,0,9,dirt_path
9,0,9,dirt_path
1,1,1,oak_fence
2,1,1,oak_fence
3,1,1,oak_planks
4,1,1,oak_planks
5,1,1,oak_planks
6,1,1,oak_planks
7,1,1,oak_fence
8,1,1,oak_fence
1,1,2,oak_fence
8,1,2,oak_fence
1,1,3,oak_planks
8,1,3,oak_planks
1,1,4,oak_fence
8,1,4,oak_fence
1,1,5,oak_fence
8,1,5,oak_fence
1,1,6,oak_planks
8,1,6,oak_planks
1,1,7,oak_fence
8,1,7,oak_fence
1,1,8,oak_fence
2,1,8,oak_fence
3,1,8,oak_planks
4,1,8,oak_planks
5,1,8,oak_planks
6,1,8,oak_planks
7,1,8,oak_fence
8,1,8,oak_fence
1,2,1,oak_fence
2,2,1,oak_fence
3,2,1,torch
7,2,1,torch
8,2,1,oak_fence
1,2,2,oak_fence
8,2,2,oak_fence
1,2,3,oak_fence
8,2,3,oak_fence
1,2,4,oak_fence
5,2,4,bell
8,2,4,oak_fence
1,2,5,oak_fence
8,2,5,oak_fence
1,2,6,oak_fence
8,2,6,oak_fence
1,2,7,oak_fence
8,2,7,oak_fence
1,2,8,oak_fence
2,2,8,oak_fence
3,2,8,torch
7,2,8,torch
8,2,8,oak_fence
1,3,1,oak_fence
2,3,1,oak_fence
7,3,1,oak_fence
8,3,1,oak_fence
1,3,2,oak_fence
8,3,2,oak_fence
1,3,3,oak_fence
8,3,3,oak_fence
1,3,4,oak_fence
8,3,4,oak_fence
1,3,5,oak_fence
8,3,5,oak_fence
1,3,6,oak_fence
8,3,6,oak_fence
1,3,7,oak_fence
8,3,7,oak_fence
1,3,8,oak_fence
2,3,8,oak_fence
7,3,8,oak_fence
8,3,8,oak_fence
1,4,1,oak_slab,nil,bottom
2,4,1,oak_slab,nil,bottom
3,4,1,oak_slab,nil,bottom
4,4,1,oak_slab,nil,bottom
5,4,1,oak_slab,nil,bottom
6,4,1,oak_slab,nil,bottom
7,4,1,oak_slab,nil,bottom
8,4,1,oak_slab,nil,bottom
1,4,2,oak_slab,nil,bottom
2,4,2,yellow_wool
3,4,2,white_wool
4,4,2,yellow_wool
5,4,2,white_wool
6,4,2,yellow_wool
7,4,2,white_wool
8,4,2,oak_slab,nil,bottom
1,4,3,oak_slab,nil,bottom
2,4,3,white_wool
3,4,3,yellow_wool
4,4,3,white_wool
5,4,3,yellow_wool
6,4,3,white_wool
7,4,3,yellow_wool
8,4,3,oak_slab,nil,bottom
1,4,4,oak_slab,nil,bottom
8,4,4,oak_slab,nil,bottom
1,4,5,oak_slab,nil,bottom
8,4,5,oak_slab,nil,bottom
1,4,6,oak_slab,nil,bottom
2,4,6,yellow_wool
3,4,6,white_wool
4,4,6,yellow_wool
5,4,6,white_wool
6,4,6,yellow_wool
7,4,6,white_wool
8,4,6,oak_slab,nil,bottom
1,4,7,oak_slab,nil,bottom
2,4,7,white_wool
3,4,7,yellow_wool
4,4,7,white_wool
5,4,7,yellow_wool
6,4,7,white_wool
7,4,7,yellow_wool
8,4,7,oak_slab,nil,bottom
1,4,8,oak_slab,nil,bottom
2,4,8,oak_slab,nil,bottom
3,4,8,oak_slab,nil,bottom
4,4,8,oak_slab,nil,bottom
5,4,8,oak_slab,nil,bottom
6,4,8,oak_slab,nil,bottom
7,4,8,oak_slab,nil,bottom
8,4,8,oak_slab,nil,bottom
```

```
=== MEETING POINT 3 ===
dimensions: 9x9x9
door: none (open tree/well area)
BLOCKS:
0,0,0,grass_block
1,0,0,grass_block
2,0,0,cobblestone
3,0,0,grass_block
4,0,0,dirt_path
5,0,0,cobblestone
6,0,0,grass_block
7,0,0,dirt_path
8,0,0,grass_block
0,0,1,grass_block
1,0,1,grass_block
2,0,1,grass_block
3,0,1,dirt_path
4,0,1,grass_block
5,0,1,dirt_path
6,0,1,cobblestone
7,0,1,grass_block
8,0,1,dirt_path
0,0,2,cobblestone
1,0,2,grass_block
2,0,2,dirt_path
3,0,2,cobblestone
4,0,2,dirt_path
5,0,2,dirt_path
6,0,2,cobblestone
7,0,2,grass_block
8,0,2,dirt_path
0,0,3,cobblestone
1,0,3,dirt_path
2,0,3,dirt_path
3,0,3,cobblestone
4,0,3,dirt_path
5,0,3,grass_block
6,0,3,cobblestone
7,0,3,dirt_path
8,0,3,dirt_path
0,0,4,cobblestone
1,0,4,grass_block
2,0,4,dirt_path
3,0,4,cobblestone
4,0,4,dirt_path
5,0,4,dirt_path
6,0,4,grass_block
7,0,4,grass_block
8,0,4,cobblestone
0,0,5,grass_block
1,0,5,grass_block
2,0,5,dirt_path
3,0,5,cobblestone
4,0,5,grass_block
5,0,5,dirt_path
6,0,5,cobblestone
7,0,5,cobblestone
8,0,5,grass_block
0,0,6,dirt_path
1,0,6,cobblestone
2,0,6,cobblestone
3,0,6,grass_block
4,0,6,cobblestone
5,0,6,dirt_path
6,0,6,grass_block
7,0,6,cobblestone
8,0,6,dirt_path
0,0,7,grass_block
1,0,7,dirt_path
2,0,7,grass_block
3,0,7,dirt_path
4,0,7,dirt_path
5,0,7,dirt_path
6,0,7,grass_block
7,0,7,dirt_path
8,0,7,dirt_path
0,0,8,grass_block
1,0,8,grass_block
2,0,8,grass_block
3,0,8,grass_block
4,0,8,dirt_path
5,0,8,dirt_path
6,0,8,grass_block
7,0,8,grass_block
8,0,8,grass_block
4,1,0,cobblestone_stairs,south,bottom
2,1,1,cobblestone_stairs,east,bottom
4,1,1,oak_fence
6,1,1,cobblestone_stairs,west,bottom
2,1,2,cobblestone_stairs,east,bottom
6,1,2,cobblestone_stairs,west,bottom
2,1,3,cobblestone_stairs,east,bottom
4,1,3,oak_log
6,1,3,cobblestone_stairs,west,bottom
4,1,5,cobblestone_stairs,north,bottom
4,1,6,oak_fence
2,1,5,cobblestone_stairs,east,bottom
6,1,5,cobblestone_stairs,west,bottom
4,1,1,oak_fence
4,1,5,oak_fence
2,2,1,oak_fence
6,2,1,oak_fence
4,2,3,oak_log
2,2,5,oak_fence
6,2,5,oak_fence
2,3,1,oak_fence
4,3,1,bell
6,3,1,oak_fence
4,3,3,oak_log
2,3,5,oak_fence
4,3,5,bell
6,3,5,oak_fence
1,3,3,torch
3,3,3,torch
5,3,3,torch
7,3,3,torch
4,4,3,oak_log
2,4,1,cobblestone
3,4,1,cobblestone
4,4,1,cobblestone
5,4,1,cobblestone
6,4,1,cobblestone
2,4,5,cobblestone
3,4,5,cobblestone
4,4,5,cobblestone
5,4,5,cobblestone
6,4,5,cobblestone
4,4,2,cobblestone
4,4,4,cobblestone
4,5,3,oak_log
3,5,2,oak_leaves
4,5,2,oak_leaves
5,5,2,oak_leaves
3,5,3,oak_leaves
5,5,3,oak_leaves
3,5,4,oak_leaves
4,5,4,oak_leaves
5,5,4,oak_leaves
4,6,3,oak_log
2,6,1,oak_leaves
3,6,1,oak_leaves
4,6,1,oak_leaves
5,6,1,oak_leaves
6,6,1,oak_leaves
2,6,2,oak_leaves
3,6,2,oak_leaves
4,6,2,oak_leaves
5,6,2,oak_leaves
6,6,2,oak_leaves
2,6,3,oak_leaves
3,6,3,oak_leaves
5,6,3,oak_leaves
6,6,3,oak_leaves
2,6,4,oak_leaves
3,6,4,oak_leaves
4,6,4,oak_leaves
5,6,4,oak_leaves
6,6,4,oak_leaves
2,6,5,oak_leaves
3,6,5,oak_leaves
4,6,5,oak_leaves
5,6,5,oak_leaves
